outcome,model,quantity,term,spss,python,abs_diff,rel_diff
CJARS_sjas,A_unadjusted,EMM contrast estimate,group diff at T3,0.95440039099234,0.954400390913533,7.880696095696749e-11,8.257222199482522e-11
CJARS_sjas,A_unadjusted,EMM contrast SE,group diff at T3,0.35841029934941,0.358410294418304,4.931105967997951e-09,1.375827083359196e-08
CJARS_sjas,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T3,51.773106851341,51.773793265500665,0.0006864141596665263,1.3258121859239885e-05
CJARS_sjas,A_unadjusted,EMM contrast p,group diff at T3,0.010299502182528,0.0102994653683777,3.6814150299394055e-08,3.574362104786512e-06
CJARS_sjas,A_unadjusted,EMM contrast CI lower,group diff at T3,0.23512247819467,0.2351227160149424,2.37820272391831e-07,1.0114739952465429e-06
CJARS_sjas,A_unadjusted,EMM contrast CI upper,group diff at T3,1.67367830379,1.6736780658121235,2.3797787651602675e-07,1.421885412370658e-07
CJARS_sjas,B_verbal_adjusted,EMM contrast estimate,group diff at T1,0.041344610879422,0.0413446108898183,1.0396301874937564e-11,2.5145482455397835e-10
CJARS_sjas,B_verbal_adjusted,EMM contrast SE,group diff at T1,0.32622719471552,0.3262272000184741,5.30295413136983e-09,1.62554018097546e-08
CJARS_sjas,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T1,52.024738897617,52.02599727316545,0.0012583755484527614,2.418802237391722e-05
CJARS_sjas,B_verbal_adjusted,EMM contrast p,group diff at T1,0.89963820270848,0.8996381925189569,1.0189523114156884e-08,1.1326245465654942e-08
CJARS_sjas,B_verbal_adjusted,EMM contrast CI lower,group diff at T1,-0.61327073771407,-0.61327037164858,3.660654900317084e-07,5.969068268220258e-07
CJARS_sjas,B_verbal_adjusted,EMM contrast CI upper,group diff at T1,0.69595995947291,0.6959595934282167,3.6604469333401113e-07,5.259565415390241e-07
CJARS_sjas,B_verbal_adjusted,EMM contrast estimate,group diff at T2,0.92475089751341,0.9247508977767602,2.6335023051160533e-10,2.8477964305818523e-10
CJARS_sjas,B_verbal_adjusted,EMM contrast SE,group diff at T2,0.33051802490087,0.3305180301831346,5.282264570194428e-09,1.5981774584846625e-08
CJARS_sjas,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T2,54.305139884558,54.30645312958296,0.001313245024959997,2.418270218531241e-05
CJARS_sjas,B_verbal_adjusted,EMM contrast p,group diff at T2,0.0071034090718759,0.0071033590221033,5.0049772599806974e-08,7.045880660029285e-06
CJARS_sjas,B_verbal_adjusted,EMM contrast CI lower,group diff at T2,0.26218741901422,0.2621877735268623,3.5451264229768853e-07,1.3521344526392443e-06
CJARS_sjas,B_verbal_adjusted,EMM contrast CI upper,group diff at T2,1.5873143760126,1.5873140220266582,3.5398594189217647e-07,2.2300934663075623e-07
CJARS_sjas,B_verbal_adjusted,EMM contrast estimate,group diff at T3,0.96764840009635,0.967648400453668,3.573179530036441e-10,3.692642420202064e-10
CJARS_sjas,B_verbal_adjusted,EMM contrast SE,group diff at T3,0.329233668188,0.3292336734779298,5.2899298275121964e-09,1.606740239121451e-08
CJARS_sjas,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T3,53.580278164886,53.5815741137921,0.0012959489060975216,2.418705072992371e-05
CJARS_sjas,B_verbal_adjusted,EMM contrast p,group diff at T3,0.0048479546958728,0.0048479140509051,4.064496770053716e-08,8.383941321716427e-06
CJARS_sjas,B_verbal_adjusted,EMM contrast CI lower,group diff at T3,0.30745619656078,0.3074565549335893,3.583728093170535e-07,1.1656060711276248e-06
CJARS_sjas,B_verbal_adjusted,EMM contrast CI upper,group diff at T3,1.6278406036319,1.6278402459737469,3.5765815309396487e-07,2.1971325220417056e-07
BS_RJA,A_unadjusted,EMM contrast estimate,group diff at T1,-0.10476190476192,-0.1047619047619257,5.703770789011742e-15,5.4445084804195067e-14
BS_RJA,A_unadjusted,EMM contrast SE,group diff at T1,0.93811375943889,0.9381137654484984,6.0096084775196346e-09,6.4060551474206455e-09
BS_RJA,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T1,92.491568470359,92.50015856929645,0.008590098937446555,9.287440011571915e-05
BS_RJA,A_unadjusted,EMM contrast p,group diff at T1,0.91132474155324,0.9113247196776592,2.1875580791252958e-08,2.4004155482455952e-08
BS_RJA,A_unadjusted,EMM contrast CI lower,group diff at T1,-1.9678048780512,-1.9678025971859696,2.280865230464002e-06,1.1590911557871728e-06
BS_RJA,A_unadjusted,EMM contrast CI upper,group diff at T1,1.7582810685274,1.7582787876621184,2.280865281534261e-06,1.2972131261383239e-06
BS_RJA,A_unadjusted,EMM contrast estimate,group diff at T2,2.1471541161031,2.147154119114329,3.011229043892172e-09,1.4024279958800972e-09
BS_RJA,A_unadjusted,EMM contrast SE,group diff at T2,0.96803605636453,0.9680360622114632,5.846933159858736e-09,6.03999522684822e-09
BS_RJA,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T2,96.090804419959,96.09917350448598,0.008369084526975712,8.709558190812035e-05
BS_RJA,A_unadjusted,EMM contrast p,group diff at T2,0.028906819152936,0.0289066124944056,2.066585303994728e-07,7.1491273151194485e-06
BS_RJA,A_unadjusted,EMM contrast CI lower,group diff at T2,0.22564090455414,0.2256430295122811,2.1249581411142415e-06,9.417433179117494e-06
BS_RJA,A_unadjusted,EMM contrast CI upper,group diff at T2,4.0686673276522,4.068665208716378,2.1189358223594468e-06,5.20793579744984e-07
BS_RJA,A_unadjusted,EMM contrast estimate,group diff at T3,0.79105799707678,0.7910579949521157,2.1246643333583393e-09,2.685851532011147e-09
BS_RJA,A_unadjusted,EMM contrast SE,group diff at T3,0.94852263857378,0.94852264452561,5.951829917805185e-09,6.2748422396691446e-09
BS_RJA,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T3,93.7975353683,93.80605576438104,0.008520396081038939,9.083816592390453e-05
BS_RJA,A_unadjusted,EMM contrast p,group diff at T3,0.40640575524317,0.4064055674243081,1.878188619075516e-07,4.6214616669286957e-07
BS_RJA,A_unadjusted,EMM contrast CI lower,group diff at T3,-1.0923089359037,-1.0923067148015324,2.2211021675211384e-06,2.0334010777670276e-06
BS_RJA,A_unadjusted,EMM contrast CI upper,group diff at T3,2.6744249300572,2.674422704705764,2.225351436013767e-06,8.320859602390007e-07
BS_RJA,B_verbal_adjusted,EMM contrast estimate,group diff at T1,-0.082311911087549,-0.0823119110830852,4.46379044838352e-12,5.423018843087875e-11
BS_RJA,B_verbal_adjusted,EMM contrast SE,group diff at T1,0.91592350535578,0.9159235208961264,1.554034634310142e-08,1.696686049897251e-08
BS_RJA,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T1,93.798034539361,93.79999836125975,0.0019638218987552136,2.093670627960892e-05
BS_RJA,B_verbal_adjusted,EMM contrast p,group diff at T1,0.92858399237042,0.9285839895764246,2.7939953683997487e-09,3.0088773781975775e-09
BS_RJA,B_verbal_adjusted,EMM contrast CI lower,group diff at T1,-1.9009505529422,-1.9009500863255733,4.6661662667091264e-07,2.454648943649301e-07
BS_RJA,B_verbal_adjusted,EMM contrast CI upper,group diff at T1,1.7363267307671,1.7363262641594028,4.666076971471256e-07,2.6873265778784663e-07
BS_RJA,B_verbal_adjusted,EMM contrast estimate,group diff at T2,2.192315080839,2.192315078827928,2.0110721976607238e-09,9.173280862945509e-10
BS_RJA,B_verbal_adjusted,EMM contrast SE,group diff at T2,0.94641064461365,0.9464106609526272,1.6338977171237445e-08,1.726415194527683e-08
BS_RJA,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T2,97.159439936309,97.16140053830088,0.001960601991882527,2.0179222864682646e-05
BS_RJA,B_verbal_adjusted,EMM contrast p,group diff at T2,0.022634687100067,0.0226346464784646,4.062160240125845e-08,1.7946615396834096e-06
BS_RJA,B_verbal_adjusted,EMM contrast CI lower,group diff at T2,0.31399085770379,0.3139913011209241,4.4341713412165973e-07,1.4121975950649074e-06
BS_RJA,B_verbal_adjusted,EMM contrast CI upper,group diff at T2,4.0706393039743,4.070638856534932,4.4743936822300157e-07,1.0991869699340634e-07
BS_RJA,B_verbal_adjusted,EMM contrast estimate,group diff at T3,0.83294020686909,0.8329402090634552,2.1943652450673312e-09,2.6344811151759073e-09
BS_RJA,B_verbal_adjusted,EMM contrast SE,group diff at T3,0.92652282145377,0.9265228372723096,1.5818539589318448e-08,1.7073016684573628e-08
BS_RJA,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T3,95.016938203661,95.01890117611735,0.0019629724563543505,2.0659184493472945e-05
BS_RJA,B_verbal_adjusted,EMM contrast p,group diff at T3,0.37092745666806,0.3709274167123388,3.9955721176099246e-08,1.0771842433830748e-07
